closure_row_id	phase3c_row_id	source_kind	source_file	obligation_classes	blocking_reason	target_disposition_path	disposition	v2_row_pointer	evidence	notes
P3F-CLOSURE-0135	BIN-COV-0020	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0135	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0020;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-ARCHIVE;side=OURS;path=riscv32-wch-elf/bin/ranlib;closure_event=P3F-EVENT-1536;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0136	BIN-COV-0021	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0136	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0021;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-BFD-PLUGINS;side=WCH;path=lib/bfd-plugins/libdep.so;closure_event=P3F-EVENT-1537;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0137	BIN-COV-0022	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0137	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0022;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-BFD-PLUGINS;side=UPSTREAM-P2;path=lib/bfd-plugins/libdep.so;closure_event=P3F-EVENT-1538;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0138	BIN-COV-0023	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0138	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0023;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-BFD-PLUGINS;side=UPSTREAM-MATCHED;path=lib/bfd-plugins/libdep.so;closure_event=P3F-EVENT-1539;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0139	BIN-COV-0024	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0139	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0024;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-BFD-PLUGINS;side=OURS;path=lib/bfd-plugins/libdep.so;closure_event=P3F-EVENT-1540;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0140	BIN-COV-0025	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0140	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0025;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-C++FILT;side=WCH;path=bin/riscv32-wch-elf-c++filt;closure_event=P3F-EVENT-1541;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0141	BIN-COV-0026	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0141	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0026;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-C++FILT;side=UPSTREAM-P2;path=bin/riscv32-wch-elf-c++filt;closure_event=P3F-EVENT-1542;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0142	BIN-COV-0027	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0142	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0027;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-C++FILT;side=UPSTREAM-MATCHED;path=bin/riscv32-wch-elf-c++filt;closure_event=P3F-EVENT-1543;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0143	BIN-COV-0028	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0143	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0028;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-C++FILT;side=OURS;path=bin/riscv32-wch-elf-c++filt;closure_event=P3F-EVENT-1544;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0144	BIN-COV-0029	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0144	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0029;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-ELFEDIT;side=WCH;path=bin/riscv32-wch-elf-elfedit;closure_event=P3F-EVENT-1545;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0145	BIN-COV-0030	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0145	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0030;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-ELFEDIT;side=UPSTREAM-P2;path=bin/riscv32-wch-elf-elfedit;closure_event=P3F-EVENT-1546;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0146	BIN-COV-0031	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0146	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0031;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-ELFEDIT;side=UPSTREAM-MATCHED;path=bin/riscv32-wch-elf-elfedit;closure_event=P3F-EVENT-1547;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0147	BIN-COV-0032	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0147	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0032;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-ELFEDIT;side=OURS;path=bin/riscv32-wch-elf-elfedit;closure_event=P3F-EVENT-1548;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0148	BIN-COV-0036	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0148	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0036;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-GAS;side=OURS;path=bin/riscv32-wch-elf-as;closure_event=P3F-EVENT-1549;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0149	BIN-COV-0040	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0149	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0040;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-GAS;side=OURS;path=riscv32-wch-elf/bin/as;closure_event=P3F-EVENT-1550;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0150	BIN-COV-0041	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0150	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0041;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-GPROF;side=WCH;path=bin/riscv32-wch-elf-gprof;closure_event=P3F-EVENT-1551;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0151	BIN-COV-0042	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0151	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0042;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-GPROF;side=UPSTREAM-P2;path=bin/riscv32-wch-elf-gprof;closure_event=P3F-EVENT-1552;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0152	BIN-COV-0043	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0152	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0043;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-GPROF;side=UPSTREAM-MATCHED;path=bin/riscv32-wch-elf-gprof;closure_event=P3F-EVENT-1553;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0153	BIN-COV-0044	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0153	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0044;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-GPROF;side=OURS;path=bin/riscv32-wch-elf-gprof;closure_event=P3F-EVENT-1554;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0154	BIN-COV-0045	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0154	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0045;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-LD;side=WCH;path=bin/riscv32-wch-elf-ld;closure_event=P3F-EVENT-1555;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0155	BIN-COV-0046	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0155	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0046;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-LD;side=UPSTREAM-P2;path=bin/riscv32-wch-elf-ld;closure_event=P3F-EVENT-1556;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0156	BIN-COV-0047	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0156	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0047;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-LD;side=UPSTREAM-MATCHED;path=bin/riscv32-wch-elf-ld;closure_event=P3F-EVENT-1557;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0157	BIN-COV-0048	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0157	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0048;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-LD;side=OURS;path=bin/riscv32-wch-elf-ld;closure_event=P3F-EVENT-1558;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
P3F-CLOSURE-0158	BIN-COV-0049	HOST-MACHO-SEMANTIC-OBLIGATION	tmp/phase3c-evidence/binary-coverage-obligations.tsv	host-macho-semantic-obligation	Phase 3c semantic_status=UNRESOLVED	map the equivalent V2 functional code/data to a terminal canonical feature; then classify remaining pure host bytes out of gate	SUPERSEDED-BY-V2	tmp/phase3f-evidence/agents/binary-analysis/host-t5/closure-obligation-projection.tsv::P3F-CLOSURE-0158	tmp/phase3f-evidence/agents/binary-analysis/host-t5/obligation-supersession.tsv::BIN-COV-0049;tmp/phase3f-evidence/agents/binary-analysis/host-t5/functional-feature-mapping.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/path-denominator-ledger.tsv;tmp/phase3f-evidence/agents/binary-analysis/host-t5/tiling-validation.tsv	group=BINUTILS-LD;side=WCH;path=bin/riscv32-wch-elf-ld.bfd;closure_event=P3F-EVENT-1559;The historical file-side semantic obligation is replaced by its exact path/side V2 obligation; all 1,340 V2 functional intervals are terminally adjudicated (748 feature-mapped, 388 host-ABI, 204 host-data).;Terminal feature mappings retain all target-facing GAP states; supersession does not assert host-binary byte equality.
